17.0705637,79.2620364,0.05,165.10,13:54:48,-48,8,2021-01-13T08:24:48.628635Z
17.0705652,79.2620377,0.02,165.10,13:54:59,-49,9.8,2021-01-13T08:24:59.644253Z
17.0705641,79.2620426,0.11,165.10,13:55:8,-51,7.8,2021-01-13T08:25:08.414788Z
17.0705634,79.2620374,0.01,165.10,13:55:18,-50,9.5,2021-01-13T08:25:18.415241Z
17.0705641,79.2620292,0.15,165.10,13:55:28,-55,8.2,2021-01-13T08:25:28.210671Z
17.0705640,79.2620331,0.05,165.10,13:55:38,-51,8.8,2021-01-13T08:25:38.099978Z
17.0705638,79.2620353,0.01,165.10,13:55:48,-55,9.2,2021-01-13T08:25:48.583538Z
17.0705633,79.2620361,0.01,165.10,13:55:58,-51,9,2021-01-13T08:25:58.186727Z
17.0705632,79.2620374,0.02,165.10,13:56:9,-57,9.2,2021-01-13T08:26:08.81834Z
17.0705617,79.2620598,0.34,165.10,13:56:19,-51,9.8,2021-01-13T08:26:18.419719Z
17.0705560,79.2620858,0.48,165.10,13:56:28,-49,10,2021-01-13T08:26:28.512256Z
17.0705638,79.2620352,0.06,165.10,13:56:39,-50,10,2021-01-13T08:26:39.472987Z
17.0705685,79.2620461,0.13,165.10,13:56:48,-55,8.8,2021-01-13T08:26:48.303524Z
17.0705745,79.2620332,0.15,165.10,13:56:59,-49,9.2,2021-01-13T08:26:58.491433Z
17.0705712,79.2620384,0.03,165.10,13:57:8,-52,9.5,2021-01-13T08:27:08.533323Z
17.0705714,79.2620366,0.02,165.10,13:57:19,-54,8.8,2021-01-13T08:27:18.718027Z
17.0705722,79.2620336,0.07,165.10,13:57:28,-55,8.2,2021-01-13T08:27:28.322563Z
17.0705711,79.2620381,0.03,165.10,13:57:38,-50,10,2021-01-13T08:27:38.5691Z
17.0705731,79.2620314,0.10,165.10,13:57:48,-49,9.5,2021-01-13T08:27:48.505601Z
17.0705740,79.2620317,0.06,165.10,13:57:59,-50,9.5,2021-01-13T08:27:58.892271Z
17.0705742,79.2620275,0.03,165.10,13:58:9,-53,9.2,2021-01-13T08:28:08.931544Z
17.0705707,79.2620392,0.11,165.10,13:58:19,-58,7.8,2021-01-13T08:28:18.877042Z
17.0705699,79.2620489,0.12,165.10,13:58:30,-50,7.2,2021-01-13T08:28:30.379639Z
17.0705725,79.2620387,0.05,165.10,13:58:41,-50,9,2021-01-13T08:28:40.768411Z
17.0705719,79.2620433,0.10,165.10,13:58:50,-50,9,2021-01-13T08:28:50.372414Z
17.0705700,79.2620427,0.02,165.10,13:59:0,-51,8.8,2021-01-13T08:29:00.562027Z
17.0705707,79.2620392,0.05,165.10,13:59:11,-52,8.2,2021-01-13T08:29:10.793992Z
17.0705712,79.2620405,0.03,165.10,13:59:23,-51,9.2,2021-01-13T08:29:22.161006Z
17.0705709,79.2620408,0.05,165.10,13:59:32,-50,9,2021-01-13T08:29:32.201661Z
17.0705711,79.2620390,0.01,165.10,13:59:42,-48,8.2,2021-01-13T08:29:42.288809Z
17.0705690,79.2620500,0.16,165.10,13:59:52,-49,9.2,2021-01-13T08:29:52.045245Z
17.0705707,79.2620410,0.02,165.10,14:0:2,-49,9.2,2021-01-13T08:30:02.419788Z
17.0705728,79.2620257,0.26,165.10,14:0:16,-51,9.2,2021-01-13T08:30:16.552229Z
17.0705696,79.2620446,0.04,165.10,14:0:27,-50,9.5,2021-01-13T08:30:27.31899Z
17.0705700,79.2620423,0.02,165.10,14:0:37,-51,10,2021-01-13T08:30:37.251358Z
17.0705707,79.2620406,0.01,165.10,14:0:47,-50,8,2021-01-13T08:30:47.436852Z
17.0705648,79.2620319,0.13,165.10,14:0:54,-54,8.8,2021-01-13T08:30:54.114152Z
17.0705654,79.2620474,0.11,165.10,14:1:4,-50,8.8,2021-01-13T08:31:04.398558Z
17.0705652,79.2620539,0.12,165.10,14:1:14,-54,10.2,2021-01-13T08:31:13.948839Z
17.0705651,79.2620435,0.05,165.10,14:1:24,-57,8.2,2021-01-13T08:31:24.330193Z
17.0705691,79.2620468,0.00,165.10,14:1:55,-63,8.8,2021-01-13T08:31:54.990338Z
17.0705700,79.2619929,0.02,165.10,14:2:6,-59,8.8,2021-01-13T08:32:06.353852Z
17.0705575,79.2620785,0.78,165.10,14:2:16,-61,8,2021-01-13T08:32:16.410483Z
17.0705637,79.2620514,0.03,165.10,14:2:26,-65,9.5,2021-01-13T08:32:26.198261Z
17.0705503,79.2621025,0.00,165.10,14:5:4,-69,9,2021-01-13T08:35:04.531924Z
17.0705488,79.2620963,0.01,165.10,14:5:14,-66,7,2021-01-13T08:35:14.584107Z
17.0705515,79.2620807,0.18,165.10,14:5:24,-67,7.5,2021-01-13T08:35:24.539261Z
17.0705681,79.2620491,0.23,165.10,14:5:34,-72,8.5,2021-01-13T08:35:34.502855Z
17.0705667,79.2620533,0.05,165.10,14:5:44,-60,8.8,2021-01-13T08:35:44.589828Z
17.0705674,79.2620605,0.03,165.10,14:5:56,-63,6.5,2021-01-13T08:35:56.083943Z
17.0705659,79.2620552,0.02,165.10,14:6:6,-64,8.2,2021-01-13T08:36:06.49108Z
17.0705663,79.2620555,0.03,165.10,14:6:16,-72,7.2,2021-01-13T08:36:16.228461Z
17.0705659,79.2620547,0.02,165.10,14:6:26,-70,9.8,2021-01-13T08:36:26.080696Z
17.0705618,79.2620373,0.25,165.10,14:6:36,-66,7.2,2021-01-13T08:36:36.276303Z
17.0705585,79.2620579,0.17,165.10,14:6:46,-66,8.2,2021-01-13T08:36:46.237412Z
17.0705636,79.2620342,0.15,165.10,14:6:56,-66,9,2021-01-13T08:36:56.228059Z
17.0705628,79.2620493,0.12,165.10,14:7:6,-64,9.2,2021-01-13T08:37:06.079193Z
17.0705612,79.2620471,0.34,165.10,14:7:16,-65,9,2021-01-13T08:37:16.405445Z
17.0705610,79.2620509,0.03,165.10,14:7:26,-73,8.2,2021-01-13T08:37:26.252558Z
17.0705640,79.2620426,0.05,165.10,14:7:36,-61,9.2,2021-01-13T08:37:36.106642Z
17.0705651,79.2620316,0.13,165.10,14:7:47,-74,9.5,2021-01-13T08:37:46.987381Z
17.0705618,79.2620527,0.53,165.10,14:7:57,-58,9.5,2021-01-13T08:37:57.610277Z
17.0705649,79.2620309,0.06,165.10,14:8:9,-64,8,2021-01-13T08:38:08.454572Z
17.0705649,79.2620310,0.10,165.10,14:8:18,-62,10,2021-01-13T08:38:18.308493Z
17.0705642,79.2620363,0.05,165.10,14:8:29,-61,10,2021-01-13T08:38:28.796329Z
17.0705655,79.2620265,0.10,165.10,14:8:38,-64,8.5,2021-01-13T08:38:38.410509Z
17.0705661,79.2620171,0.04,165.10,14:8:49,-65,7.5,2021-01-13T08:38:48.810996Z
17.0705653,79.2620287,0.00,165.10,14:16:46,-47,7.5,2021-01-13T08:46:46.44774Z
17.0705685,79.2620124,0.28,165.10,14:16:56,-55,9.8,2021-01-13T08:46:56.633406Z
17.0705544,79.2620334,0.14,165.10,14:17:7,-52,9.5,2021-01-13T08:47:06.815726Z
17.0705477,79.2620653,0.13,165.10,14:17:31,-57,7.8,2021-01-13T08:47:31.230228Z
17.0705438,79.2620948,0.39,165.10,14:17:41,-71,8.2,2021-01-13T08:47:41.011117Z
17.0705662,79.2620203,0.57,165.10,14:17:51,-61,8.2,2021-01-13T08:47:51.226536Z
17.0705164,79.2619504,1.21,165.10,14:18:1,-53,7.2,2021-01-13T08:48:01.198987Z
17.0705592,79.2620373,0.41,165.10,14:18:11,-63,7.8,2021-01-13T08:48:11.295271Z
17.0705681,79.2620240,0.15,165.10,14:18:21,-54,8,2021-01-13T08:48:21.218685Z
17.0705684,79.2620165,0.59,165.10,14:18:31,-55,8.5,2021-01-13T08:48:31.245282Z
17.0705759,79.2619877,0.35,165.10,14:18:39,-58,9.2,2021-01-13T08:48:39.450061Z
17.0705678,79.2620521,0.34,165.10,14:18:49,-79,8,2021-01-13T08:48:49.240026Z
17.0705724,79.2620348,0.09,165.10,14:18:57,-94,7.5,2021-01-13T08:48:57.282781Z
17.0705680,79.2620664,0.47,165.10,14:19:5,-90,7.8,2021-01-13T08:49:05.504477Z
17.0705626,79.2620847,0.39,165.10,14:19:12,-92,0.2,2021-01-13T08:49:11.591424Z
17.0705758,79.2620729,0.11,158.40,14:19:20,-82,7.2,2021-01-13T08:49:20.38747Z
17.0705086,79.2620391,0.00,158.60,14:19:29,-100,9.8,2021-01-13T08:49:29.681096Z
17.0704955,79.2620488,0.00,158.00,14:19:38,-85,7.8,2021-01-13T08:49:38.161715Z
17.0705285,79.2621209,0.00,157.50,14:19:47,-97,8.8,2021-01-13T08:49:46.72028Z
17.0705438,79.2621621,0.00,158.40,14:19:56,-84,10,2021-01-13T08:49:55.816947Z
17.0705425,79.2621782,0.00,158.10,14:20:8,-79,7.8,2021-01-13T08:50:07.890685Z
17.0702249,79.2619572,7.66,158.60,14:20:19,-77,7.5,2021-01-13T08:50:19.311558Z
17.0703934,79.2621194,0.14,158.60,14:20:28,-67,10,2021-01-13T08:50:27.907778Z
17.0704891,79.2621415,0.01,158.60,14:20:37,-62,8.8,2021-01-13T08:50:36.854789Z
17.0705290,79.2621752,0.94,158.60,14:20:45,-70,8.2,2021-01-13T08:50:44.988004Z
17.0706086,79.2625125,3.80,157.50,14:20:55,-87,7,2021-01-13T08:50:54.908163Z
17.0706641,79.2626938,2.52,157.50,14:21:5,-83,6.8,2021-01-13T08:51:05.070436Z
17.0705023,79.2628169,2.30,157.50,14:21:15,-95,7.8,2021-01-13T08:51:14.96228Z
17.0702166,79.2629188,2.95,157.50,14:21:25,-103,5.5,2021-01-13T08:51:24.962599Z
17.0699585,79.2630045,2.92,157.30,14:21:35,-93,7.8,2021-01-13T08:51:34.929371Z
17.0696491,79.2631411,3.68,157.20,14:21:44,-99,2,2021-01-13T08:51:44.576659Z
17.0694328,79.2632655,1.66,157.20,14:21:55,-91,6.2,2021-01-13T08:51:54.938626Z
17.0694325,79.2634714,2.18,157.20,14:22:5,-100,4.5,2021-01-13T08:52:05.032721Z
17.0694683,79.2635540,1.10,157.20,14:22:13,-95,4.8,2021-01-13T08:52:12.78785Z
17.0694928,79.2636246,1.50,157.00,14:22:21,-94,6,2021-01-13T08:52:20.875538Z
17.0692163,79.2637540,3.18,157.00,14:22:30,-101,4.2,2021-01-13T08:52:29.936076Z
17.0688944,79.2638798,3.91,157.00,14:22:40,-93,3.5,2021-01-13T08:52:39.957997Z
17.0686175,79.2639930,3.73,157.00,14:22:47,-95,4,2021-01-13T08:52:47.532102Z
17.0683577,79.2640407,2.98,157.00,14:22:56,-108,3.8,2021-01-13T08:52:56.078401Z
17.0680281,79.2641994,3.65,157.00,14:23:5,-99,3.8,2021-01-13T08:53:04.705234Z
17.0676913,79.2643254,4.21,157.00,14:23:15,-105,-4.8,2021-01-13T08:53:14.969995Z
17.0672598,79.2645054,4.54,218.00,14:23:24,-107,-7,2021-01-13T08:53:23.937513Z
17.0669506,79.2646145,4.09,218.30,14:23:32,-107,-10.8,2021-01-13T08:53:32.438931Z
17.0666824,79.2647440,4.07,218.80,14:23:41,-107,-12.2,2021-01-13T08:53:40.940918Z
17.0664242,79.2648266,4.20,220.30,14:23:47,-108,-16,2021-01-13T08:53:47.06266Z
17.0634654,79.2660746,2.90,162.80,14:25:55,-106,-13.5,2021-01-13T08:55:55.179541Z
17.0632821,79.2661834,0.00,223.70,14:26:21,-108,-5.8,2021-01-13T08:56:20.948795Z
17.0631237,79.2662306,2.06,163.30,14:26:40,-107,-11.8,2021-01-13T08:56:39.927474Z
17.0625887,79.2664320,3.53,158.60,14:26:56,-108,-11.2,2021-01-13T08:56:56.033547Z
17.0541123,79.2689487,0.36,139.90,14:37:33,-109,-15.2,2021-01-13T09:07:33.008944Z
17.0591517,79.2665317,0.00,165.40,14:47:59,-107,-14.2,2021-01-13T09:17:57.897832Z
17.0591517,79.2665317,0.00,165.40,14:48:8,-109,-16,2021-01-13T09:18:07.881281Z
17.0597795,79.2658679,3.40,165.40,14:48:37,-108,-11.5,2021-01-13T09:18:36.998996Z
17.0600536,79.2656865,3.18,165.40,14:48:48,-107,-4.8,2021-01-13T09:18:48.0108Z
17.0603228,79.2655648,2.58,165.40,14:48:56,-108,-0.8,2021-01-13T09:18:55.927463Z
17.0605899,79.2654769,4.42,165.40,14:49:6,-108,-7.8,2021-01-13T09:19:06.218021Z
17.0609289,79.2652646,2.27,165.40,14:49:16,-107,-11,2021-01-13T09:19:15.838778Z
17.0610847,79.2652825,3.34,229.10,14:49:33,-108,-12.8,2021-01-13T09:19:33.063937Z
17.0611824,79.2655377,0.02,226.80,14:49:43,-104,-10.5,2021-01-13T09:19:43.101155Z
17.0611885,79.2655234,1.37,227.10,14:49:53,-109,-2.2,2021-01-13T09:19:52.984307Z
17.0611298,79.2652081,4.31,226.60,14:50:3,-107,-11,2021-01-13T09:20:03.056792Z
17.0610424,79.2648783,3.86,166.80,14:50:11,-109,-8.5,2021-01-13T09:20:10.7746Z
17.0610304,79.2647447,2.08,166.80,14:50:17,-109,-8.8,2021-01-13T09:20:17.289267Z
17.0608940,79.2644383,4.04,167.80,14:50:25,-109,-10,2021-01-13T09:20:25.492601Z
17.0608032,79.2641151,4.06,167.80,14:50:33,-106,-13.5,2021-01-13T09:20:33.614822Z
17.0606513,79.2638086,3.71,167.80,14:50:42,-109,-7.2,2021-01-13T09:20:41.995561Z
17.0606137,79.2635820,3.12,168.90,14:50:50,-108,-5.5,2021-01-13T09:20:50.368493Z
17.0606709,79.2634124,3.56,168.90,14:50:58,-108,-3.5,2021-01-13T09:20:58.124023Z
17.0606960,79.2631459,1.71,168.90,14:51:4,-102,-3,2021-01-13T09:21:04.614637Z
17.0606927,79.2630346,1.91,168.90,14:51:13,-107,-5.5,2021-01-13T09:21:13.058851Z
17.0607149,79.2628569,3.19,168.90,14:51:20,-108,-8.8,2021-01-13T09:21:20.172443Z
17.0607879,79.2626138,2.05,168.90,14:51:29,-109,-10.5,2021-01-13T09:21:28.837033Z
17.0607687,79.2624827,0.00,168.90,14:51:38,-108,-6.8,2021-01-13T09:21:38.077634Z
17.0608019,79.2623096,2.57,230.00,14:51:48,-108,-9.2,2021-01-13T09:21:47.212524Z
17.0608810,79.2620360,3.48,234.00,14:51:58,-108,-5,2021-01-13T09:21:57.992408Z
17.0609917,79.2617032,4.09,163.70,14:52:7,-108,-6.8,2021-01-13T09:22:07.57236Z
17.0610434,79.2614790,1.72,165.30,14:52:18,-107,-9.2,2021-01-13T09:22:17.532014Z
17.0611040,79.2611309,3.10,165.30,14:52:28,-107,-7,2021-01-13T09:22:28.008657Z
17.0611756,79.2608994,2.82,165.30,14:52:38,-108,-5.8,2021-01-13T09:22:37.975873Z
17.0613112,79.2606189,3.02,165.30,14:52:48,-108,-11.2,2021-01-13T09:22:47.957638Z
17.0614273,79.2604051,2.69,165.30,14:52:58,-107,-3.8,2021-01-13T09:22:57.977414Z
17.0616081,79.2600965,3.52,173.20,14:53:18,-107,-8.8,2021-01-13T09:23:17.923805Z
